,time,meassures of PM2.5 (qm)
367,3670,1.58
368,3680,11.53
369,3690,12.31
370,3700,15.53
371,3710,9.48
372,3720,4.34
373,3730,8.18
374,3740,13.39
375,3750,8.64
376,3760,11.98
377,3770,11.54
378,3780,4.53
379,3790,15.36
380,3800,14.02
381,3810,5.95
382,3820,2.9
383,3830,5.88
384,3840,6.95
385,3850,10.57
386,3860,12.85
387,3870,7.07
388,3880,10.07
389,3890,7.46
390,3900,14.09
391,3910,14.54
392,3920,12.06
393,3930,3.84
394,3940,5.73
395,3950,5.28
396,3960,9.04
397,3970,4.56
398,3980,17.52
399,3990,11.01
400,4000,17.06
401,4010,0.16
402,4020,13.26
403,4030,9.43
404,4040,8.16
405,4050,10.6
406,4060,7.12
407,4070,5.35
408,4080,9.07
409,4090,11.72
410,4100,10.29
411,4110,2.51
412,4120,10.31
413,4130,4.8
414,4140,5.96
415,4150,8.67
416,4160,4.37
417,4170,10.47
418,4180,13.35
419,4190,5.39
420,4200,6.45
421,4210,2.56
422,4220,6.98
423,4230,9.47
424,4240,5.99
425,4250,11.53
426,4260,5.23
427,4270,10.1
428,4280,14.56
429,4290,10.9
430,4300,7.32
431,4310,6.33
432,4320,6.81
433,4330,3.69
434,4340,15.79
435,4350,9.11
436,4360,9.22
437,4370,12.48
438,4380,9.57
439,4390,9.06
440,4400,3.54
441,4410,10.29
442,4420,12.41
443,4430,8.8
444,4440,8.75
445,4450,7.29
446,4460,8.76
447,4470,13.24
448,4480,9.06
449,4490,11.66
450,4500,11.75
451,4510,13.6
452,4520,8.96
453,4530,1.75
454,4540,8.24
455,4550,10.37
456,4560,9.93
457,4570,10.88
458,4580,4.01
459,4590,10.49
460,4600,11.58
461,4610,6.44
462,4620,6.0
463,4630,4.62
464,4640,7.21
465,4650,13.86
466,4660,10.07
467,4670,10.42
468,4680,3.59
469,4690,9.52
470,4700,7.9
471,4710,2.29
472,4720,13.68
473,4730,11.96
474,4740,10.58
475,4750,9.98
476,4760,17.0
477,4770,13.12
478,4780,5.89
479,4790,16.66
480,4800,11.98
481,4810,7.77
482,4820,2.08
483,4830,9.06
484,4840,4.4
485,4850,11.5
486,4860,5.37
487,4870,11.99
488,4880,11.02
489,4890,5.58
490,4900,8.08
491,4910,7.38
492,4920,6.69
493,4930,2.96
494,4940,5.48
495,4950,7.05
496,4960,4.07
497,4970,11.42
498,4980,12.77
499,4990,4.17
500,5000,11.77
501,5010,13.45
502,5020,13.42
503,5030,14.04
504,5040,3.17
505,5050,12.91
506,5060,10.84
507,5070,9.54
508,5080,11.42
509,5090,15.2
510,5100,3.16
511,5110,9.73
512,5120,3.68
513,5130,1.44
514,5140,8.93
515,5150,8.28
516,5160,5.17
517,5170,13.81
518,5180,8.38
519,5190,4.89
520,5200,10.53
521,5210,10.11
522,5220,4.16
523,5230,7.71
524,5240,5.73
525,5250,11.24
526,5260,7.42
527,5270,9.46
528,5280,18.98
529,5290,3.73
530,5300,6.54
531,5310,9.51
532,5320,14.6
533,5330,4.1
534,5340,6.09
535,5350,13.29
536,5360,13.58
537,5370,6.6
538,5380,7.18
539,5390,12.12
540,5400,13.08
541,5410,8.21
542,5420,2.48
543,5430,11.57
544,5440,13.3
545,5450,3.36
546,5460,3.65
547,5470,10.99
548,5480,11.82
549,5490,8.89
550,5500,9.23
551,5510,1.24
552,5520,9.35
553,5530,12.82
554,5540,7.38
555,5550,10.12
556,5560,10.05
557,5570,8.08
558,5580,5.76
559,5590,11.48
560,5600,9.89
561,5610,8.46
562,5620,9.98
563,5630,13.72
564,5640,11.32
565,5650,15.0
566,5660,1.57
567,5670,2.83
568,5680,7.46
569,5690,17.57
570,5700,12.74
571,5710,16.67
572,5720,13.13
573,5730,18.15
574,5740,4.43
575,5750,6.25
576,5760,8.45
577,5770,2.67
578,5780,9.19
579,5790,8.53
580,5800,2.94
581,5810,12.5
582,5820,8.31
583,5830,8.2
584,5840,10.65
585,5850,5.25
586,5860,9.84
587,5870,8.55
588,5880,5.88
589,5890,4.98
590,5900,12.16
591,5910,12.23
592,5920,11.82
593,5930,5.9
594,5940,16.26
595,5950,7.97
596,5960,7.69
597,5970,11.51
598,5980,8.58
599,5990,12.99
600,6000,10.87
601,6010,9.83
602,6020,8.12
603,6030,10.49
604,6040,6.7
605,6050,12.55
606,6060,11.79
607,6070,2.11
608,6080,10.83
609,6090,4.67
610,6100,13.71
611,6110,10.36
612,6120,14.66
613,6130,12.18
614,6140,7.35
615,6150,12.85
616,6160,1.41
617,6170,11.2
618,6180,4.94
619,6190,9.43
620,6200,11.97
621,6210,7.72
622,6220,16.8
623,6230,11.55
624,6240,10.24
625,6250,8.26
626,6260,8.53
627,6270,14.34
628,6280,4.42
629,6290,10.89
630,6300,5.52
631,6310,10.1
632,6320,12.71
633,6330,10.44
634,6340,11.72
635,6350,2.29
636,6360,8.05
637,6370,16.59
638,6380,10.28
639,6390,8.8
640,6400,10.34
641,6410,9.54
642,6420,7.52
643,6430,9.37
644,6440,19.02
645,6450,6.92
646,6460,2.9
647,6470,11.06
648,6480,2.38
649,6490,7.54
650,6500,5.15
651,6510,4.36
652,6520,10.35
653,6530,8.66
654,6540,5.0
655,6550,9.03
656,6560,6.11
657,6570,8.54
658,6580,11.58
659,6590,10.01
660,6600,13.4
661,6610,11.58
662,6620,14.97
663,6630,11.33
664,6640,4.61
665,6650,11.69
666,6660,7.21
667,6670,8.97
668,6680,12.89
669,6690,11.58
670,6700,6.7
671,6710,13.27
672,6720,11.5
673,6730,12.28
674,6740,8.81
675,6750,8.59
676,6760,2.04
677,6770,12.71
678,6780,20.98
679,6790,8.08
680,6800,5.86
681,6810,8.77
682,6820,7.78
683,6830,4.6
684,6840,18.05
685,6850,10.31
686,6860,7.62
687,6870,10.75
688,6880,1.11
689,6890,6.64
690,6900,7.8
691,6910,12.26
692,6920,9.58
693,6930,9.47
694,6940,16.21
695,6950,11.41
696,6960,12.53
697,6970,2.1
698,6980,7.6
699,6990,13.14
700,7000,13.28
701,7010,7.05
702,7020,8.16
703,7030,11.46
704,7040,19.14
705,7050,10.87
706,7060,7.62
707,7070,0.58
708,7080,8.41
709,7090,2.51
710,7100,9.84
711,7110,11.34
712,7120,8.32
713,7130,13.48
714,7140,4.6
715,7150,4.06
716,7160,11.53
717,7170,10.13
718,7180,4.3
719,7190,11.16
720,7200,15.32
721,7210,11.66
722,7220,6.95
723,7230,17.45
724,7240,8.65
725,7250,7.54
726,7260,6.15
727,7270,10.35
728,7280,18.03
729,7290,5.85
730,7300,10.26
731,7310,9.12
732,7320,12.08
733,7330,13.51
734,7340,13.26
735,7350,10.08
736,7360,8.54
737,7370,7.55
738,7380,6.95
739,7390,4.76
740,7400,8.03
741,7410,10.86
742,7420,7.25
743,7430,8.43
744,7440,13.27
745,7450,9.76
746,7460,12.73
747,7470,12.53
748,7480,12.88
749,7490,6.12
750,7500,4.72
751,7510,10.15
752,7520,15.79
753,7530,6.07
754,7540,3.66
755,7550,10.98
756,7560,8.51
757,7570,12.24
758,7580,8.37
759,7590,2.86
760,7600,8.45
761,7610,10.27
762,7620,3.79
763,7630,5.57
764,7640,12.91
765,7650,7.48
766,7660,13.09
767,7670,6.57
768,7680,5.6
769,7690,8.0
770,7700,18.63
771,7710,5.69
772,7720,7.52
773,7730,0.74
774,7740,10.05
775,7750,5.48
776,7760,8.83
777,7770,15.61
778,7780,12.45
779,7790,8.57
780,7800,4.33
781,7810,10.52
782,7820,9.3
783,7830,7.37
784,7840,2.8
785,7850,9.82
786,7860,7.21
787,7870,1.56
788,7880,2.07
789,7890,19.24
790,7900,5.08
791,7910,12.52
792,7920,8.21
793,7930,11.02
794,7940,12.64
795,7950,3.49
796,7960,9.73
797,7970,8.92
798,7980,16.63
799,7990,8.19
800,8000,8.47
801,8010,3.08
802,8020,1.36
803,8030,5.42
804,8040,14.25
805,8050,9.48
806,8060,4.0
807,8070,7.04
808,8080,4.92
809,8090,12.81
810,8100,9.1
811,8110,0.75
812,8120,1.03
813,8130,4.1
814,8140,9.67
815,8150,12.66
816,8160,11.66
817,8170,9.93
818,8180,12.05
819,8190,5.26
820,8200,8.78
821,8210,7.88
822,8220,4.26
823,8230,13.21
824,8240,2.89
825,8250,11.38
826,8260,7.74
827,8270,6.24
828,8280,16.09
829,8290,3.87
830,8300,14.76
831,8310,8.95
832,8320,8.96
833,8330,5.5
834,8340,11.22
835,8350,6.38
836,8360,9.04
837,8370,15.41
838,8380,2.98
839,8390,8.83
840,8400,3.16
841,8410,9.62
842,8420,4.56
843,8430,1.32
844,8440,8.43
845,8450,8.85
846,8460,7.12
847,8470,15.77
848,8480,10.67
849,8490,7.49
850,8500,10.91
851,8510,7.65
852,8520,6.21
853,8530,8.72
854,8540,14.2
855,8550,5.73
856,8560,6.83
857,8570,8.24
858,8580,5.23
859,8590,0.51
860,8600,10.65
861,8610,8.93
862,8620,4.87
863,8630,10.07
864,8640,6.37
865,8650,7.64
866,8660,6.45
867,8670,7.46
868,8680,5.2
869,8690,4.22
870,8700,10.63
871,8710,8.6
872,8720,8.07
873,8730,5.16
874,8740,4.31
875,8750,4.64
876,8760,6.19
877,8770,9.03
878,8780,14.01
879,8790,10.32
880,8800,6.12
881,8810,7.93
882,8820,15.33
883,8830,10.27
884,8840,6.5
885,8850,11.47
886,8860,5.72
887,8870,7.48
888,8880,8.97
889,8890,12.55
890,8900,11.03
891,8910,10.23
892,8920,14.35
893,8930,6.72
894,8940,11.39
895,8950,8.12
896,8960,9.48
897,8970,14.72
898,8980,1.91
899,8990,9.54
900,9000,10.37
901,9010,13.38
902,9020,3.84
903,9030,10.77
904,9040,8.62
905,9050,4.69
906,9060,5.26
907,9070,10.89
908,9080,12.28
909,9090,8.19
910,9100,13.43
911,9110,11.32
912,9120,12.36
913,9130,10.37
914,9140,6.5
915,9150,11.89
916,9160,17.74
917,9170,7.0
918,9180,9.54
919,9190,8.57
920,9200,0.17
921,9210,4.1
922,9220,14.81
923,9230,10.9
924,9240,1.98
925,9250,11.35
926,9260,7.97
927,9270,7.55
928,9280,12.01
929,9290,12.8
930,9300,6.8
931,9310,5.71
932,9320,14.26
933,9330,12.63
934,9340,10.45
935,9350,8.29
936,9360,11.65
937,9370,4.95
938,9380,0.83
939,9390,9.68
940,9400,6.1
941,9410,8.17
942,9420,11.97
943,9430,4.69
944,9440,8.91
945,9450,8.97
946,9460,6.61
947,9470,7.28
948,9480,6.5
949,9490,9.77
950,9500,16.3
951,9510,12.27
952,9520,6.26
953,9530,6.89
954,9540,10.33
955,9550,13.04
956,9560,5.27
957,9570,10.39
958,9580,10.95
959,9590,8.9
960,9600,0.76
961,9610,9.18
962,9620,2.97
963,9630,8.68
964,9640,1.98
965,9650,10.42
966,9660,6.94
967,9670,9.2
968,9680,10.08
969,9690,6.74
970,9700,11.0
971,9710,6.79
972,9720,1.22
973,9730,4.31
974,9740,9.97
975,9750,7.74
976,9760,13.71
977,9770,10.98
978,9780,4.0
979,9790,6.19
980,9800,6.26
981,9810,7.9
982,9820,10.38
983,9830,8.63
984,9840,3.18
985,9850,2.97
986,9860,19.96
987,9870,1.87
988,9880,9.02
989,9890,12.41
990,9900,5.64
991,9910,5.6
992,9920,9.88
993,9930,7.84
994,9940,4.24
995,9950,7.55
996,9960,5.89
997,9970,11.45
998,9980,3.7
999,9990,14.49
1000,10000,8.48
1001,10010,12.22
1002,10020,3.46
1003,10030,5.38
1004,10040,6.93
1005,10050,10.28
1006,10060,9.29
1007,10070,7.95
1008,10080,17.43
1009,10090,14.87
1010,10100,9.11
1011,10110,10.04
1012,10120,6.85
1013,10130,2.74
1014,10140,4.09
1015,10150,15.34
1016,10160,2.26
1017,10170,16.83
1018,10180,13.01
1019,10190,5.99
1020,10200,3.19
1021,10210,8.79
1022,10220,7.98
1023,10230,12.58
1024,10240,8.93
1025,10250,6.86
1026,10260,9.19
1027,10270,7.21
1028,10280,8.83
1029,10290,10.69
1030,10300,3.1
1031,10310,16.69
1032,10320,9.42
1033,10330,15.85
1034,10340,11.85
1035,10350,13.9
1036,10360,7.31
1037,10370,6.1
1038,10380,7.88
1039,10390,9.33
1040,10400,4.19
1041,10410,2.67
1042,10420,8.98
1043,10430,11.11
1044,10440,0.33
1045,10450,0.44
1046,10460,10.42
1047,10470,5.26
1048,10480,9.87
1049,10490,12.14
1050,10500,7.87
1051,10510,10.84
1052,10520,4.2
1053,10530,12.08
1054,10540,9.63
1055,10550,3.3
1056,10560,7.68
1057,10570,7.27
1058,10580,8.43
1059,10590,4.62
1060,10600,4.98
1061,10610,5.91
1062,10620,10.36
1063,10630,10.27
1064,10640,3.78
1065,10650,4.19
1066,10660,9.7
1067,10670,2.41
1068,10680,15.95
1069,10690,13.96
1070,10700,5.14
1071,10710,8.51
1072,10720,6.45
1073,10730,14.17
1074,10740,7.27
1075,10750,0.23
1076,10760,9.2
1077,10770,5.78
1078,10780,11.45
1079,10790,5.02
1080,10800,11.07
1081,10810,5.51
1082,10820,10.87
1083,10830,7.4
1084,10840,7.47
1085,10850,11.29
1086,10860,13.11
1087,10870,10.76
1088,10880,6.06
1089,10890,0.4
1090,10900,12.15
1091,10910,8.71
1092,10920,9.65
1093,10930,6.78
1094,10940,7.25
1095,10950,7.63
1096,10960,6.86
1097,10970,8.21
1098,10980,4.8
1099,10990,2.99
1100,11000,13.3
1101,11010,5.0
1102,11020,0.37
1103,11030,6.26
1104,11040,12.23
1105,11050,7.99
1106,11060,6.81
1107,11070,8.54
1108,11080,6.37
1109,11090,8.74
1110,11100,1.95
1111,11110,13.2
1112,11120,14.07
1113,11130,9.58
1114,11140,15.24
1115,11150,4.07
1116,11160,7.73
1117,11170,13.09
1118,11180,5.63
1119,11190,16.22
1120,11200,2.26
1121,11210,11.85
1122,11220,14.03
1123,11230,2.04
1124,11240,14.77
1125,11250,4.08
1126,11260,1.96
1127,11270,16.14
1128,11280,17.09
1129,11290,13.71
1130,11300,10.72
1131,11310,9.23
1132,11320,2.86
1133,11330,5.3
1134,11340,6.03
1135,11350,4.34
1136,11360,11.98
1137,11370,7.0
1138,11380,7.07
1139,11390,8.96
1140,11400,4.06
1141,11410,10.56
1142,11420,8.45
1143,11430,7.54
1144,11440,8.42
1145,11450,9.69
1146,11460,11.61
1147,11470,12.95
1148,11480,7.6
1149,11490,8.99
1150,11500,9.1
1151,11510,20.06
1152,11520,9.62
1153,11530,2.6
1154,11540,3.35
1155,11550,16.33
1156,11560,13.63
1157,11570,3.71
1158,11580,8.09
1159,11590,8.34
1160,11600,8.6
1161,11610,0.41
1162,11620,3.37
1163,11630,9.14
1164,11640,7.11
1165,11650,6.81
1166,11660,9.05
1167,11670,9.56
1168,11680,9.8
1169,11690,8.81
1170,11700,7.86
1171,11710,2.64
1172,11720,13.25
1173,11730,11.83
1174,11740,7.27
1175,11750,0.86
1176,11760,18.96
1177,11770,17.54
1178,11780,15.53
1179,11790,6.16
1180,11800,8.17
1181,11810,13.04
1182,11820,9.95
1183,11830,9.79
1184,11840,6.75
1185,11850,11.31
1186,11860,8.48
1187,11870,6.04
1188,11880,16.24
1189,11890,13.56
1190,11900,11.41
1191,11910,7.34
1192,11920,4.93
1193,11930,5.39
1194,11940,8.07
1195,11950,8.59
1196,11960,11.31
1197,11970,5.02
1198,11980,12.22
1199,11990,5.18
1200,12000,5.61
1201,12010,6.57
1202,12020,10.2
1203,12030,11.85
1204,12040,10.71
1205,12050,11.99
1206,12060,9.18
1207,12070,15.26
1208,12080,13.04
1209,12090,8.18
1210,12100,14.05
1211,12110,8.9
1212,12120,3.54
1213,12130,7.92
1214,12140,14.64
1215,12150,11.78
1216,12160,7.95
1217,12170,13.74
1218,12180,9.57
1219,12190,6.49
1220,12200,5.4
1221,12210,4.63
1222,12220,7.01
1223,12230,15.71
1224,12240,11.64
1225,12250,3.22
1226,12260,11.43
1227,12270,12.82
1228,12280,5.02
1229,12290,10.82
1230,12300,1.12
1231,12310,9.37
1232,12320,5.84
1233,12330,10.76
1234,12340,9.68
1235,12350,8.11
1236,12360,3.6
1237,12370,6.19
1238,12380,8.85
1239,12390,6.68
1240,12400,11.83
1241,12410,10.12
1242,12420,7.81
1243,12430,14.35
1244,12440,9.45
1245,12450,8.51
1246,12460,9.13
1247,12470,4.86
1248,12480,2.52
1249,12490,10.24
1250,12500,12.26
1251,12510,1.54
1252,12520,6.71
1253,12530,6.06
1254,12540,11.82
1255,12550,5.5
1256,12560,6.0
1257,12570,7.29
1258,12580,6.01
1259,12590,15.02
1260,12600,10.05
1261,12610,6.06
1262,12620,11.95
1263,12630,6.17
1264,12640,0.09
1265,12650,8.43
1266,12660,16.98
1267,12670,7.48
1268,12680,9.4
1269,12690,6.81
1270,12700,1.71
1271,12710,3.48
1272,12720,12.23
1273,12730,8.11
1274,12740,7.23
1275,12750,4.57
1276,12760,8.8
1277,12770,14.46
1278,12780,5.18
1279,12790,10.27
1280,12800,7.99
1281,12810,12.1
1282,12820,1.06
1283,12830,12.17
1284,12840,3.85
1285,12850,17.32
1286,12860,12.75
1287,12870,8.47
1288,12880,6.18
1289,12890,9.32
1290,12900,3.64
1291,12910,10.13
1292,12920,10.94
1293,12930,9.94
1294,12940,11.62
1295,12950,9.4
1296,12960,12.57
1297,12970,9.67
1298,12980,7.78
1299,12990,9.32
1300,13000,7.63
1301,13010,7.43
1302,13020,8.79
1303,13030,15.26
1304,13040,12.0
1305,13050,13.8
1306,13060,7.92
1307,13070,8.62
1308,13080,7.15
1309,13090,9.53
1310,13100,6.27
1311,13110,10.33
1312,13120,11.95
1313,13130,10.72
1314,13140,4.93
1315,13150,7.97
1316,13160,9.74
1317,13170,12.5
1318,13180,14.69
1319,13190,14.38
1320,13200,13.22
1321,13210,11.46
1322,13220,9.26
1323,13230,12.51
1324,13240,13.02
1325,13250,10.84
1326,13260,0.56
1327,13270,3.29
1328,13280,11.03
1329,13290,5.8
1330,13300,13.81
1331,13310,10.74
1332,13320,12.53
1333,13330,4.44
1334,13340,6.59
1335,13350,13.87
1336,13360,4.56
1337,13370,20.33
1338,13380,6.3
1339,13390,7.12
1340,13400,12.44
1341,13410,7.92
1342,13420,4.89
1343,13430,4.43
1344,13440,11.08
1345,13450,6.86
1346,13460,16.37
1347,13470,7.64
1348,13480,10.1
1349,13490,12.02
1350,13500,2.03
1351,13510,10.98
1352,13520,9.81
1353,13530,7.9
1354,13540,14.25
1355,13550,12.55
1356,13560,19.54
1357,13570,10.26
1358,13580,0.96
1359,13590,12.25
1360,13600,9.65
1361,13610,10.74
1362,13620,6.9
1363,13630,3.94
1364,13640,1.06
1365,13650,7.83
1366,13660,9.64
1367,13670,14.78
1368,13680,9.9
1369,13690,13.75
1370,13700,7.02
1371,13710,4.43
1372,13720,13.04
1373,13730,5.04
1374,13740,10.56
1375,13750,7.87
1376,13760,6.31
1377,13770,19.13
1378,13780,5.84
1379,13790,10.54
1380,13800,10.99
1381,13810,9.78
1382,13820,3.26
1383,13830,6.47
1384,13840,7.89
1385,13850,10.87
1386,13860,4.85
1387,13870,3.39
1388,13880,5.47
1389,13890,7.17
1390,13900,7.85
1391,13910,7.56
1392,13920,7.68
1393,13930,16.03
1394,13940,1.96
1395,13950,11.38
1396,13960,5.56
1397,13970,12.24
1398,13980,13.64
1399,13990,7.8
1400,14000,13.46
1401,14010,3.71
1402,14020,13.68
1403,14030,2.26
1404,14040,15.44
1405,14050,11.1
1406,14060,8.17
1407,14070,14.3
1408,14080,11.03
1409,14090,9.2
1410,14100,4.02
1411,14110,12.86
1412,14120,5.48
1413,14130,4.6
1414,14140,11.97
1415,14150,11.08
1416,14160,13.24
1417,14170,8.39
1418,14180,3.88
1419,14190,5.49
1420,14200,11.28
1421,14210,7.97
1422,14220,11.24
1423,14230,13.59
1424,14240,9.43
1425,14250,10.67
1426,14260,1.46
1427,14270,8.44
1428,14280,9.27
1429,14290,10.95
1430,14300,8.58
1431,14310,8.51
1432,14320,11.13
1433,14330,11.27
1434,14340,6.06
1435,14350,16.01
1436,14360,7.96
1437,14370,12.87
1438,14380,7.81
1439,14390,8.53
1440,14400,9.79
1441,14410,7.21
1442,14420,13.39
1443,14430,7.31
1444,14440,5.73
1445,14450,5.27
1446,14460,9.75
1447,14470,6.48
1448,14480,1.96
1449,14490,13.11
1450,14500,9.71
1451,14510,6.13
1452,14520,12.0
1453,14530,4.03
1454,14540,5.33
1455,14550,9.98
1456,14560,10.6
1457,14570,7.82
1458,14580,3.7
1459,14590,8.31
1460,14600,4.27
1461,14610,10.92
1462,14620,2.94
1463,14630,3.62
1464,14640,9.47
1465,14650,6.99
1466,14660,14.46
1467,14670,10.27
1468,14680,4.22
1469,14690,13.4
1470,14700,7.89
1471,14710,5.89
1472,14720,6.93
1473,14730,7.39
1474,14740,7.74
1475,14750,12.58
1476,14760,11.06
1477,14770,1.92
1478,14780,10.36
1479,14790,9.84
1480,14800,4.11
1481,14810,10.82
1482,14820,8.54
1483,14830,12.15
1484,14840,8.71
1485,14850,11.86
1486,14860,7.9
1487,14870,6.49
1488,14880,5.82
1489,14890,0.73
1490,14900,5.41
1491,14910,7.87
1492,14920,8.49
1493,14930,11.16
1494,14940,7.74
1495,14950,1.1
1496,14960,4.12
1497,14970,10.61
1498,14980,8.36
1499,14990,3.79
1500,15000,0.53
1501,15010,1.95
1502,15020,6.29
1503,15030,6.89
1504,15040,8.24
1505,15050,13.02
